tanggal,pasar,komoditas,harga,curah_hujan_mm,suhu_avg,suhu_max,suhu_min,kurs_usd_idr
2024-08-23,Pasar Banjaran,BAWANG MERAH,25000.0,0.1,24.9,32.0,18.0,15559.0
2024-08-23,Pasar Banjaran,BAWANG MERAH BATU,23000.0,0.1,24.9,32.0,18.0,15559.0
2024-08-23,Pasar Banjaran,BAWANG PUTIH BIASA,40000.0,0.1,24.9,32.0,18.0,15559.0
2024-08-23,Pasar Banjaran,BAWANG SUMENEP,36000.0,0.1,24.9,32.0,18.0,15559.0
2024-08-23,Pasar Banjaran,CABE HIJAU BIASA,20000.0,0.1,24.9,32.0,18.0,15559.0
2024-08-23,Pasar Banjaran,CABE MERAH KERITING,35000.0,0.1,24.9,32.0,18.0,15559.0
2024-08-23,Pasar Banjaran,CABE MERAH TANJUNG,45000.0,0.1,24.9,32.0,18.0,15559.0
2024-08-23,Pasar Banjaran,CABE RAWIT HIJAU,40000.0,0.1,24.9,32.0,18.0,15559.0
2024-08-23,Pasar Banjaran,CABE RAWIT MERAH,50000.0,0.1,24.9,32.0,18.0,15559.0
2024-08-23,Pasar Banjaran,JAGUNG MANIS,12000.0,0.1,24.9,32.0,18.0,15559.0
2024-08-23,Pasar Banjaran,JERUK,20000.0,0.1,24.9,32.0,18.0,15559.0
2024-08-23,Pasar Banjaran,KACANG HIJAU,28000.0,0.1,24.9,32.0,18.0,15559.0
2024-08-23,Pasar Banjaran,KACANG TANAH KUPAS,38000.0,0.1,24.9,32.0,18.0,15559.0
2024-08-23,Pasar Banjaran,KENTANG DIENG,23000.0,0.1,24.9,32.0,18.0,15559.0
2024-08-23,Pasar Banjaran,KETELA POHON,6000.0,0.1,24.9,32.0,18.0,15559.0
2024-08-23,Pasar Banjaran,PISANG,7000.0,0.1,24.9,32.0,18.0,15559.0
2024-08-23,Pasar Banjaran,SAYURAN BUNCIS,14000.0,0.1,24.9,32.0,18.0,15559.0
2024-08-23,Pasar Banjaran,SAYURAN KENTANG LOKAL,17000.0,0.1,24.9,32.0,18.0,15559.0
2024-08-23,Pasar Banjaran,SAYURAN KOL/KUBIS,6000.0,0.1,24.9,32.0,18.0,15559.0
2024-08-23,Pasar Banjaran,SAYURAN TOMAT,6000.0,0.1,24.9,32.0,18.0,15559.0
2024-08-23,Pasar Banjaran,SAYURAN WORTEL,13000.0,0.1,24.9,32.0,18.0,15559.0
2024-08-23,Pasar Banjaran,TOMAT HIJAU,4000.0,0.1,24.9,32.0,18.0,15559.0
2024-08-23,Pasar Banjaran,UBI JALAR PUTIH,7000.0,0.1,24.9,32.0,18.0,15559.0
2024-08-23,Pasar Baru Majalaya,BAWANG BOMBAY,40000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Baru Majalaya,BAWANG DAUN,20000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Baru Majalaya,BAWANG MERAH,24000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Baru Majalaya,BAWANG MERAH BATU,16000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Baru Majalaya,BAWANG PUTIH BIASA,40000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Baru Majalaya,BAWANG SUMENEP,40000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Baru Majalaya,CABE HIJAU BIASA,24000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Baru Majalaya,CABE MERAH KERITING,40000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Baru Majalaya,CABE MERAH TANJUNG,50000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Baru Majalaya,CABE RAWIT HIJAU,40000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Baru Majalaya,CABE RAWIT MERAH,45000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Baru Majalaya,JAGUNG MANIS,10000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Baru Majalaya,JERUK,25000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Baru Majalaya,KACANG HIJAU,28000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Baru Majalaya,KACANG TANAH KUPAS,,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Baru Majalaya,KENTANG DIENG,22000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Baru Majalaya,KETELA POHON,6000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Baru Majalaya,PISANG,7000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Baru Majalaya,SAYURAN BUNCIS,12000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Baru Majalaya,SAYURAN KENTANG LOKAL,13000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Baru Majalaya,SAYURAN KOL/KUBIS,5000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Baru Majalaya,SAYURAN TOMAT,5000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Baru Majalaya,SAYURAN WORTEL,12000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Baru Majalaya,TOMAT HIJAU,3000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Baru Majalaya,UBI JALAR PUTIH,6000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Cileunyi,BAWANG BOMBAY,,0.4,24.2,30.4,18.2,15559.0
2024-08-23,Pasar Cileunyi,BAWANG DAUN,,0.4,24.2,30.4,18.2,15559.0
2024-08-23,Pasar Cileunyi,BAWANG MERAH,,0.4,24.2,30.4,18.2,15559.0
2024-08-23,Pasar Cileunyi,BAWANG MERAH BATU,,0.4,24.2,30.4,18.2,15559.0
2024-08-23,Pasar Cileunyi,BAWANG PUTIH BIASA,,0.4,24.2,30.4,18.2,15559.0
2024-08-23,Pasar Cileunyi,BAWANG SUMENEP,,0.4,24.2,30.4,18.2,15559.0
2024-08-23,Pasar Cileunyi,CABE HIJAU BIASA,,0.4,24.2,30.4,18.2,15559.0
2024-08-23,Pasar Cileunyi,CABE MERAH KERITING,,0.4,24.2,30.4,18.2,15559.0
2024-08-23,Pasar Cileunyi,CABE MERAH TANJUNG,,0.4,24.2,30.4,18.2,15559.0
2024-08-23,Pasar Cileunyi,CABE RAWIT HIJAU,,0.4,24.2,30.4,18.2,15559.0
2024-08-23,Pasar Cileunyi,CABE RAWIT MERAH,,0.4,24.2,30.4,18.2,15559.0
2024-08-23,Pasar Cileunyi,JAGUNG MANIS,,0.4,24.2,30.4,18.2,15559.0
2024-08-23,Pasar Cileunyi,JERUK,,0.4,24.2,30.4,18.2,15559.0
2024-08-23,Pasar Cileunyi,KACANG HIJAU,,0.4,24.2,30.4,18.2,15559.0
2024-08-23,Pasar Cileunyi,KACANG TANAH KUPAS,,0.4,24.2,30.4,18.2,15559.0
2024-08-23,Pasar Cileunyi,KENTANG DIENG,,0.4,24.2,30.4,18.2,15559.0
2024-08-23,Pasar Cileunyi,KETELA POHON,,0.4,24.2,30.4,18.2,15559.0
2024-08-23,Pasar Cileunyi,PISANG,,0.4,24.2,30.4,18.2,15559.0
2024-08-23,Pasar Cileunyi,SAYURAN BUNCIS,,0.4,24.2,30.4,18.2,15559.0
2024-08-23,Pasar Cileunyi,SAYURAN KENTANG LOKAL,,0.4,24.2,30.4,18.2,15559.0
2024-08-23,Pasar Cileunyi,SAYURAN KOL/KUBIS,,0.4,24.2,30.4,18.2,15559.0
2024-08-23,Pasar Cileunyi,SAYURAN TOMAT,,0.4,24.2,30.4,18.2,15559.0
2024-08-23,Pasar Cileunyi,SAYURAN WORTEL,,0.4,24.2,30.4,18.2,15559.0
2024-08-23,Pasar Cileunyi,TOMAT HIJAU,,0.4,24.2,30.4,18.2,15559.0
2024-08-23,Pasar Cileunyi,UBI JALAR PUTIH,,0.4,24.2,30.4,18.2,15559.0
2024-08-23,Pasar Ciwidey,BAWANG BOMBAY,35000.0,1.0,21.8,27.8,16.3,15559.0
2024-08-23,Pasar Ciwidey,BAWANG DAUN,15000.0,1.0,21.8,27.8,16.3,15559.0
2024-08-23,Pasar Ciwidey,BAWANG MERAH,22000.0,1.0,21.8,27.8,16.3,15559.0
2024-08-23,Pasar Ciwidey,BAWANG MERAH BATU,20000.0,1.0,21.8,27.8,16.3,15559.0
2024-08-23,Pasar Ciwidey,BAWANG PUTIH BIASA,37000.0,1.0,21.8,27.8,16.3,15559.0
2024-08-23,Pasar Ciwidey,BAWANG SUMENEP,38000.0,1.0,21.8,27.8,16.3,15559.0
2024-08-23,Pasar Ciwidey,CABE HIJAU BIASA,22000.0,1.0,21.8,27.8,16.3,15559.0
2024-08-23,Pasar Ciwidey,CABE MERAH KERITING,40000.0,1.0,21.8,27.8,16.3,15559.0
2024-08-23,Pasar Ciwidey,CABE MERAH TANJUNG,50000.0,1.0,21.8,27.8,16.3,15559.0
2024-08-23,Pasar Ciwidey,CABE RAWIT HIJAU,45000.0,1.0,21.8,27.8,16.3,15559.0
2024-08-23,Pasar Ciwidey,CABE RAWIT MERAH,50000.0,1.0,21.8,27.8,16.3,15559.0
2024-08-23,Pasar Ciwidey,JAGUNG MANIS,10000.0,1.0,21.8,27.8,16.3,15559.0
2024-08-23,Pasar Ciwidey,JERUK,20000.0,1.0,21.8,27.8,16.3,15559.0
2024-08-23,Pasar Ciwidey,KACANG HIJAU,28000.0,1.0,21.8,27.8,16.3,15559.0
2024-08-23,Pasar Ciwidey,KACANG TANAH KUPAS,38000.0,1.0,21.8,27.8,16.3,15559.0
2024-08-23,Pasar Ciwidey,KENTANG DIENG,22000.0,1.0,21.8,27.8,16.3,15559.0
2024-08-23,Pasar Ciwidey,KETELA POHON,6000.0,1.0,21.8,27.8,16.3,15559.0
2024-08-23,Pasar Ciwidey,PISANG,8000.0,1.0,21.8,27.8,16.3,15559.0
2024-08-23,Pasar Ciwidey,SAYURAN BUNCIS,14000.0,1.0,21.8,27.8,16.3,15559.0
2024-08-23,Pasar Ciwidey,SAYURAN KENTANG LOKAL,20000.0,1.0,21.8,27.8,16.3,15559.0
2024-08-23,Pasar Ciwidey,SAYURAN KOL/KUBIS,6000.0,1.0,21.8,27.8,16.3,15559.0
2024-08-23,Pasar Ciwidey,SAYURAN TOMAT,5000.0,1.0,21.8,27.8,16.3,15559.0
2024-08-23,Pasar Ciwidey,SAYURAN WORTEL,13000.0,1.0,21.8,27.8,16.3,15559.0
2024-08-23,Pasar Ciwidey,TOMAT HIJAU,,1.0,21.8,27.8,16.3,15559.0
2024-08-23,Pasar Ciwidey,UBI JALAR PUTIH,8000.0,1.0,21.8,27.8,16.3,15559.0
2024-08-23,Pasar Margahayu,BAWANG BOMBAY,36000.0,0.1,25.0,31.9,18.7,15559.0
2024-08-23,Pasar Margahayu,BAWANG DAUN,18000.0,0.1,25.0,31.9,18.7,15559.0
2024-08-23,Pasar Margahayu,BAWANG MERAH,26000.0,0.1,25.0,31.9,18.7,15559.0
2024-08-23,Pasar Margahayu,BAWANG MERAH BATU,,0.1,25.0,31.9,18.7,15559.0
2024-08-23,Pasar Margahayu,BAWANG PUTIH BIASA,38000.0,0.1,25.0,31.9,18.7,15559.0
2024-08-23,Pasar Margahayu,BAWANG SUMENEP,36000.0,0.1,25.0,31.9,18.7,15559.0
2024-08-23,Pasar Margahayu,CABE HIJAU BIASA,28000.0,0.1,25.0,31.9,18.7,15559.0
2024-08-23,Pasar Margahayu,CABE MERAH KERITING,40000.0,0.1,25.0,31.9,18.7,15559.0
2024-08-23,Pasar Margahayu,CABE MERAH TANJUNG,40000.0,0.1,25.0,31.9,18.7,15559.0
2024-08-23,Pasar Margahayu,CABE RAWIT HIJAU,50000.0,0.1,25.0,31.9,18.7,15559.0
2024-08-23,Pasar Margahayu,CABE RAWIT MERAH,50000.0,0.1,25.0,31.9,18.7,15559.0
2024-08-23,Pasar Margahayu,JAGUNG MANIS,12000.0,0.1,25.0,31.9,18.7,15559.0
2024-08-23,Pasar Margahayu,JERUK,25000.0,0.1,25.0,31.9,18.7,15559.0
2024-08-23,Pasar Margahayu,KACANG HIJAU,30000.0,0.1,25.0,31.9,18.7,15559.0
2024-08-23,Pasar Margahayu,KACANG TANAH KUPAS,35000.0,0.1,25.0,31.9,18.7,15559.0
2024-08-23,Pasar Margahayu,KENTANG DIENG,23000.0,0.1,25.0,31.9,18.7,15559.0
2024-08-23,Pasar Margahayu,KETELA POHON,6000.0,0.1,25.0,31.9,18.7,15559.0
2024-08-23,Pasar Margahayu,PISANG,8000.0,0.1,25.0,31.9,18.7,15559.0
2024-08-23,Pasar Margahayu,SAYURAN BUNCIS,16000.0,0.1,25.0,31.9,18.7,15559.0
2024-08-23,Pasar Margahayu,SAYURAN KENTANG LOKAL,,0.1,25.0,31.9,18.7,15559.0
2024-08-23,Pasar Margahayu,SAYURAN KOL/KUBIS,6000.0,0.1,25.0,31.9,18.7,15559.0
2024-08-23,Pasar Margahayu,SAYURAN TOMAT,8000.0,0.1,25.0,31.9,18.7,15559.0
2024-08-23,Pasar Margahayu,SAYURAN WORTEL,14000.0,0.1,25.0,31.9,18.7,15559.0
2024-08-23,Pasar Margahayu,TOMAT HIJAU,8000.0,0.1,25.0,31.9,18.7,15559.0
2024-08-23,Pasar Margahayu,UBI JALAR PUTIH,8000.0,0.1,25.0,31.9,18.7,15559.0
2024-08-23,Pasar Sehat Cicalengka,BAWANG BOMBAY,40000.0,,,,,15559.0
2024-08-23,Pasar Sehat Cicalengka,BAWANG DAUN,25000.0,,,,,15559.0
2024-08-23,Pasar Sehat Cicalengka,BAWANG MERAH,20000.0,,,,,15559.0
2024-08-23,Pasar Sehat Cicalengka,BAWANG MERAH BATU,19000.0,,,,,15559.0
2024-08-23,Pasar Sehat Cicalengka,BAWANG PUTIH BIASA,40000.0,,,,,15559.0
2024-08-23,Pasar Sehat Cicalengka,BAWANG SUMENEP,45000.0,,,,,15559.0
2024-08-23,Pasar Sehat Cicalengka,CABE HIJAU BIASA,20000.0,,,,,15559.0
2024-08-23,Pasar Sehat Cicalengka,CABE MERAH KERITING,35000.0,,,,,15559.0
2024-08-23,Pasar Sehat Cicalengka,CABE MERAH TANJUNG,45000.0,,,,,15559.0
2024-08-23,Pasar Sehat Cicalengka,CABE RAWIT HIJAU,40000.0,,,,,15559.0
2024-08-23,Pasar Sehat Cicalengka,CABE RAWIT MERAH,50000.0,,,,,15559.0
2024-08-23,Pasar Sehat Cicalengka,JAGUNG MANIS,12000.0,,,,,15559.0
2024-08-23,Pasar Sehat Cicalengka,JERUK,20000.0,,,,,15559.0
2024-08-23,Pasar Sehat Cicalengka,KACANG HIJAU,27000.0,,,,,15559.0
2024-08-23,Pasar Sehat Cicalengka,KACANG TANAH KUPAS,36000.0,,,,,15559.0
2024-08-23,Pasar Sehat Cicalengka,KENTANG DIENG,24000.0,,,,,15559.0
2024-08-23,Pasar Sehat Cicalengka,KETELA POHON,6000.0,,,,,15559.0
2024-08-23,Pasar Sehat Cicalengka,PISANG,8000.0,,,,,15559.0
2024-08-23,Pasar Sehat Cicalengka,SAYURAN BUNCIS,12000.0,,,,,15559.0
2024-08-23,Pasar Sehat Cicalengka,SAYURAN KENTANG LOKAL,18000.0,,,,,15559.0
2024-08-23,Pasar Sehat Cicalengka,SAYURAN KOL/KUBIS,6000.0,,,,,15559.0
2024-08-23,Pasar Sehat Cicalengka,SAYURAN TOMAT,5000.0,,,,,15559.0
2024-08-23,Pasar Sehat Cicalengka,SAYURAN WORTEL,14000.0,,,,,15559.0
2024-08-23,Pasar Sehat Cicalengka,TOMAT HIJAU,4000.0,,,,,15559.0
2024-08-23,Pasar Sehat Cicalengka,UBI JALAR PUTIH,7000.0,,,,,15559.0
2024-08-23,Pasar Sehat Soreang,BAWANG BOMBAY,40000.0,0.1,24.1,31.0,17.8,15559.0
2024-08-23,Pasar Sehat Soreang,BAWANG DAUN,18000.0,0.1,24.1,31.0,17.8,15559.0
2024-08-23,Pasar Sehat Soreang,BAWANG MERAH,25000.0,0.1,24.1,31.0,17.8,15559.0
2024-08-23,Pasar Sehat Soreang,BAWANG MERAH BATU,24000.0,0.1,24.1,31.0,17.8,15559.0
2024-08-23,Pasar Sehat Soreang,BAWANG PUTIH BIASA,40000.0,0.1,24.1,31.0,17.8,15559.0
2024-08-23,Pasar Sehat Soreang,BAWANG SUMENEP,35000.0,0.1,24.1,31.0,17.8,15559.0
2024-08-23,Pasar Sehat Soreang,CABE HIJAU BIASA,20000.0,0.1,24.1,31.0,17.8,15559.0
2024-08-23,Pasar Sehat Soreang,CABE MERAH KERITING,35000.0,0.1,24.1,31.0,17.8,15559.0
2024-08-23,Pasar Sehat Soreang,CABE MERAH TANJUNG,45000.0,0.1,24.1,31.0,17.8,15559.0
2024-08-23,Pasar Sehat Soreang,CABE RAWIT HIJAU,40000.0,0.1,24.1,31.0,17.8,15559.0
2024-08-23,Pasar Sehat Soreang,CABE RAWIT MERAH,40000.0,0.1,24.1,31.0,17.8,15559.0
2024-08-23,Pasar Sehat Soreang,JAGUNG MANIS,8000.0,0.1,24.1,31.0,17.8,15559.0
2024-08-23,Pasar Sehat Soreang,JERUK,18000.0,0.1,24.1,31.0,17.8,15559.0
2024-08-23,Pasar Sehat Soreang,KACANG HIJAU,27000.0,0.1,24.1,31.0,17.8,15559.0
2024-08-23,Pasar Sehat Soreang,KACANG TANAH KUPAS,40000.0,0.1,24.1,31.0,17.8,15559.0
2024-08-23,Pasar Sehat Soreang,KENTANG DIENG,24000.0,0.1,24.1,31.0,17.8,15559.0
2024-08-23,Pasar Sehat Soreang,KETELA POHON,6000.0,0.1,24.1,31.0,17.8,15559.0
2024-08-23,Pasar Sehat Soreang,PISANG,9000.0,0.1,24.1,31.0,17.8,15559.0
2024-08-23,Pasar Sehat Soreang,SAYURAN BUNCIS,15000.0,0.1,24.1,31.0,17.8,15559.0
2024-08-23,Pasar Sehat Soreang,SAYURAN KENTANG LOKAL,18000.0,0.1,24.1,31.0,17.8,15559.0
2024-08-23,Pasar Sehat Soreang,SAYURAN KOL/KUBIS,6000.0,0.1,24.1,31.0,17.8,15559.0
2024-08-23,Pasar Sehat Soreang,SAYURAN TOMAT,7000.0,0.1,24.1,31.0,17.8,15559.0
2024-08-23,Pasar Sehat Soreang,SAYURAN WORTEL,12000.0,0.1,24.1,31.0,17.8,15559.0
2024-08-23,Pasar Sehat Soreang,TOMAT HIJAU,5000.0,0.1,24.1,31.0,17.8,15559.0
2024-08-23,Pasar Sehat Soreang,UBI JALAR PUTIH,8000.0,0.1,24.1,31.0,17.8,15559.0
2024-08-23,Pasar Stasiun Majalaya,BAWANG BOMBAY,40000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Stasiun Majalaya,BAWANG DAUN,20000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Stasiun Majalaya,BAWANG MERAH,26000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Stasiun Majalaya,BAWANG MERAH BATU,20000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Stasiun Majalaya,BAWANG PUTIH BIASA,40000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Stasiun Majalaya,BAWANG SUMENEP,40000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Stasiun Majalaya,CABE HIJAU BIASA,24000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Stasiun Majalaya,CABE MERAH KERITING,38000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Stasiun Majalaya,CABE MERAH TANJUNG,45000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Stasiun Majalaya,CABE RAWIT HIJAU,40000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Stasiun Majalaya,CABE RAWIT MERAH,45000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Stasiun Majalaya,JAGUNG MANIS,11000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Stasiun Majalaya,JERUK,20000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Stasiun Majalaya,KACANG HIJAU,27000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Stasiun Majalaya,KACANG TANAH KUPAS,38000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Stasiun Majalaya,KENTANG DIENG,20000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Stasiun Majalaya,KETELA POHON,6000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Stasiun Majalaya,PISANG,8000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Stasiun Majalaya,SAYURAN BUNCIS,12000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Stasiun Majalaya,SAYURAN KENTANG LOKAL,15000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Stasiun Majalaya,SAYURAN KOL/KUBIS,5000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Stasiun Majalaya,SAYURAN TOMAT,5000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Stasiun Majalaya,SAYURAN WORTEL,14000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Stasiun Majalaya,TOMAT HIJAU,5000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-23,Pasar Stasiun Majalaya,UBI JALAR PUTIH,8000.0,0.0,24.4,31.3,18.2,15559.0
2024-08-24,Pasar Baleendah,BAWANG BOMBAY,35000.0,0.0,24.2,32.5,16.0,15559.0
2024-08-24,Pasar Baleendah,BAWANG DAUN,24000.0,0.0,24.2,32.5,16.0,15559.0
2024-08-24,Pasar Baleendah,BAWANG MERAH,24000.0,0.0,24.2,32.5,16.0,15559.0
2024-08-24,Pasar Baleendah,BAWANG MERAH BATU,28000.0,0.0,24.2,32.5,16.0,15559.0
2024-08-24,Pasar Baleendah,BAWANG PUTIH BIASA,40000.0,0.0,24.2,32.5,16.0,15559.0
2024-08-24,Pasar Baleendah,BAWANG SUMENEP,35000.0,0.0,24.2,32.5,16.0,15559.0
2024-08-24,Pasar Baleendah,CABE HIJAU BIASA,20000.0,0.0,24.2,32.5,16.0,15559.0
2024-08-24,Pasar Baleendah,CABE MERAH KERITING,40000.0,0.0,24.2,32.5,16.0,15559.0
2024-08-24,Pasar Baleendah,CABE MERAH TANJUNG,40000.0,0.0,24.2,32.5,16.0,15559.0
2024-08-24,Pasar Baleendah,CABE RAWIT HIJAU,50000.0,0.0,24.2,32.5,16.0,15559.0
2024-08-24,Pasar Baleendah,CABE RAWIT MERAH,50000.0,0.0,24.2,32.5,16.0,15559.0
2024-08-24,Pasar Baleendah,JAGUNG MANIS,10000.0,0.0,24.2,32.5,16.0,15559.0
2024-08-24,Pasar Baleendah,JERUK,20000.0,0.0,24.2,32.5,16.0,15559.0
2024-08-24,Pasar Baleendah,KACANG HIJAU,28000.0,0.0,24.2,32.5,16.0,15559.0
2024-08-24,Pasar Baleendah,KACANG TANAH KUPAS,38000.0,0.0,24.2,32.5,16.0,15559.0
2024-08-24,Pasar Baleendah,KENTANG DIENG,28000.0,0.0,24.2,32.5,16.0,15559.0
2024-08-24,Pasar Baleendah,KETELA POHON,5000.0,0.0,24.2,32.5,16.0,15559.0
2024-08-24,Pasar Baleendah,PISANG,6500.0,0.0,24.2,32.5,16.0,15559.0
2024-08-24,Pasar Baleendah,SAYURAN BUNCIS,14000.0,0.0,24.2,32.5,16.0,15559.0
2024-08-24,Pasar Baleendah,SAYURAN KENTANG LOKAL,17000.0,0.0,24.2,32.5,16.0,15559.0
2024-08-24,Pasar Baleendah,SAYURAN KOL/KUBIS,5000.0,0.0,24.2,32.5,16.0,15559.0
2024-08-24,Pasar Baleendah,SAYURAN TOMAT,5000.0,0.0,24.2,32.5,16.0,15559.0
2024-08-24,Pasar Baleendah,SAYURAN WORTEL,12000.0,0.0,24.2,32.5,16.0,15559.0
2024-08-24,Pasar Baleendah,TOMAT HIJAU,5000.0,0.0,24.2,32.5,16.0,15559.0
2024-08-24,Pasar Baleendah,UBI JALAR PUTIH,8000.0,0.0,24.2,32.5,16.0,15559.0
2024-08-24,Pasar Banjaran,BAWANG BOMBAY,40000.0,0.0,23.6,31.9,15.5,15559.0
2024-08-24,Pasar Banjaran,BAWANG DAUN,18000.0,0.0,23.6,31.9,15.5,15559.0
2024-08-24,Pasar Banjaran,BAWANG MERAH,26000.0,0.0,23.6,31.9,15.5,15559.0
2024-08-24,Pasar Banjaran,BAWANG MERAH BATU,24000.0,0.0,23.6,31.9,15.5,15559.0
2024-08-24,Pasar Banjaran,BAWANG PUTIH BIASA,40000.0,0.0,23.6,31.9,15.5,15559.0
2024-08-24,Pasar Banjaran,BAWANG SUMENEP,36000.0,0.0,23.6,31.9,15.5,15559.0
2024-08-24,Pasar Banjaran,CABE HIJAU BIASA,20000.0,0.0,23.6,31.9,15.5,15559.0
2024-08-24,Pasar Banjaran,CABE MERAH KERITING,37000.0,0.0,23.6,31.9,15.5,15559.0
2024-08-24,Pasar Banjaran,CABE MERAH TANJUNG,45000.0,0.0,23.6,31.9,15.5,15559.0
2024-08-24,Pasar Banjaran,CABE RAWIT HIJAU,40000.0,0.0,23.6,31.9,15.5,15559.0
2024-08-24,Pasar Banjaran,CABE RAWIT MERAH,50000.0,0.0,23.6,31.9,15.5,15559.0
2024-08-24,Pasar Banjaran,JAGUNG MANIS,12000.0,0.0,23.6,31.9,15.5,15559.0
2024-08-24,Pasar Banjaran,JERUK,23000.0,0.0,23.6,31.9,15.5,15559.0
2024-08-24,Pasar Banjaran,KACANG HIJAU,28000.0,0.0,23.6,31.9,15.5,15559.0
2024-08-24,Pasar Banjaran,KACANG TANAH KUPAS,38000.0,0.0,23.6,31.9,15.5,15559.0
2024-08-24,Pasar Banjaran,KENTANG DIENG,23000.0,0.0,23.6,31.9,15.5,15559.0
2024-08-24,Pasar Banjaran,KETELA POHON,6000.0,0.0,23.6,31.9,15.5,15559.0
2024-08-24,Pasar Banjaran,PISANG,7500.0,0.0,23.6,31.9,15.5,15559.0
2024-08-24,Pasar Banjaran,SAYURAN BUNCIS,14000.0,0.0,23.6,31.9,15.5,15559.0
2024-08-24,Pasar Banjaran,SAYURAN KENTANG LOKAL,18000.0,0.0,23.6,31.9,15.5,15559.0
2024-08-24,Pasar Banjaran,SAYURAN KOL/KUBIS,6500.0,0.0,23.6,31.9,15.5,15559.0
2024-08-24,Pasar Banjaran,SAYURAN TOMAT,6000.0,0.0,23.6,31.9,15.5,15559.0
2024-08-24,Pasar Banjaran,SAYURAN WORTEL,13000.0,0.0,23.6,31.9,15.5,15559.0
2024-08-24,Pasar Banjaran,TOMAT HIJAU,4000.0,0.0,23.6,31.9,15.5,15559.0
2024-08-24,Pasar Banjaran,UBI JALAR PUTIH,7000.0,0.0,23.6,31.9,15.5,15559.0
2024-08-24,Pasar Baru Majalaya,BAWANG BOMBAY,40000.0,0.0,22.4,30.1,16.0,15559.0
2024-08-24,Pasar Baru Majalaya,BAWANG DAUN,20000.0,0.0,22.4,30.1,16.0,15559.0
2024-08-24,Pasar Baru Majalaya,BAWANG MERAH,24000.0,0.0,22.4,30.1,16.0,15559.0
2024-08-24,Pasar Baru Majalaya,BAWANG MERAH BATU,16000.0,0.0,22.4,30.1,16.0,15559.0
2024-08-24,Pasar Baru Majalaya,BAWANG PUTIH BIASA,40000.0,0.0,22.4,30.1,16.0,15559.0
